candidate_id,tile_id,mask_index,label,note,selection_rule,bbox_xyxy,local_bbox_xyxy,tile_box_xyxy,area,sam_score
170,r3_c1,348,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[379,636,386,643]","[166,123,173,130]","[213,513,427,684]",37,0.9112257957458496
171,r3_c3,146,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[744,639,752,647]","[104,126,112,134]","[640,513,853,684]",45,0.9553149938583374
172,r3_c1,132,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[231,642,237,651]","[18,129,24,138]","[213,513,427,684]",44,0.9596895575523376
173,r3_c1,356,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[301,646,306,655]","[88,133,93,142]","[213,513,427,684]",37,0.9085132479667664
174,r3_c5,109,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1181,649,1189,657]","[114,136,122,144]","[1067,513,1280,684]",48,0.9561173319816589
175,r3_c2,11,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[511,651,518,659]","[84,138,91,146]","[427,513,640,684]",47,0.9843350052833557
176,r3_c3,12,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[703,654,711,660]","[63,141,71,147]","[640,513,853,684]",37,0.9768333435058594
177,r3_c2,219,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[499,658,507,665]","[72,145,80,152]","[427,513,640,684]",39,0.9481903910636902
178,r3_c1,85,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[289,661,297,668]","[76,148,84,155]","[213,513,427,684]",44,0.9666349291801453
179,r3_c3,70,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[708,664,716,672]","[68,151,76,159]","[640,513,853,684]",47,0.9662112593650818
180,r3_c0,57,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[96,668,104,676]","[96,155,104,163]","[0,513,213,684]",49,0.9709166288375854
181,r3_c1,24,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[213,672,218,684]","[0,159,5,171]","[213,513,427,684]",46,0.977181077003479
182,r3_c0,297,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[163,678,174,684]","[163,165,174,171]","[0,513,213,684]",42,0.9326117634773254
183,r4_c4,18,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[996,685,1004,692]","[143,1,151,8]","[853,684,1067,855]",45,0.9750888347625732
184,r4_c2,13,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[527,688,534,697]","[100,4,107,13]","[427,684,640,855]",49,0.9773041009902954
185,r4_c3,71,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[727,693,734,702]","[87,9,94,18]","[640,684,853,855]",47,0.9640327095985413
186,r4_c0,69,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[61,698,69,705]","[61,14,69,21]","[0,684,213,855]",42,0.9650049209594727
187,r4_c3,199,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[808,703,816,710]","[168,19,176,26]","[640,684,853,855]",46,0.9407190084457397
188,r4_c3,35,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[713,706,720,713]","[73,22,80,29]","[640,684,853,855]",37,0.9729364514350891
189,r4_c2,12,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[443,712,451,719]","[16,28,24,35]","[427,684,640,855]",45,0.9775549173355103
190,r4_c0,41,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[189,719,197,726]","[189,35,197,42]","[0,684,213,855]",43,0.9698025584220886
191,r4_c5,8,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1228,724,1235,732]","[161,40,168,48]","[1067,684,1280,855]",45,0.9798716306686401
192,r4_c1,74,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[333,729,340,736]","[120,45,127,52]","[213,684,427,855]",42,0.9616270065307617
193,r4_c2,41,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[512,734,520,741]","[85,50,93,57]","[427,684,640,855]",46,0.9691305160522461
194,r4_c5,179,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1219,739,1226,746]","[152,55,159,62]","[1067,684,1280,855]",42,0.9323491454124451
195,r4_c3,51,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[788,742,795,749]","[148,58,155,65]","[640,684,853,855]",45,0.9687274098396301
196,r4_c5,177,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1216,745,1222,753]","[149,61,155,69]","[1067,684,1280,855]",40,0.9329816102981567
197,r4_c4,160,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[901,749,908,757]","[48,65,55,73]","[853,684,1067,855]",40,0.9415892362594604
198,r4_c1,86,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[396,754,403,762]","[183,70,190,78]","[213,684,427,855]",45,0.9593344926834106
199,r4_c5,29,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1197,757,1204,766]","[130,73,137,82]","[1067,684,1280,855]",43,0.9689415693283081
200,r4_c5,168,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1132,763,1139,771]","[65,79,72,87]","[1067,684,1280,855]",42,0.9346883893013
201,r4_c1,53,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[376,768,383,775]","[163,84,170,91]","[213,684,427,855]",40,0.9655407667160034
202,r4_c1,168,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[385,773,394,780]","[172,89,181,96]","[213,684,427,855]",45,0.9417203664779663
203,r4_c1,133,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[245,778,251,785]","[32,94,38,101]","[213,684,427,855]",38,0.9502584934234619
204,r4_c4,206,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[861,781,868,789]","[8,97,15,105]","[853,684,1067,855]",48,0.9226146936416626
205,r4_c0,253,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[114,786,122,793]","[114,102,122,109]","[0,684,213,855]",40,0.9347614645957947
206,r4_c5,244,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1222,790,1229,797]","[155,106,162,113]","[1067,684,1280,855]",37,0.8954601883888245
207,r4_c3,150,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[833,793,841,801]","[193,109,201,117]","[640,684,853,855]",50,0.9499976634979248
208,r4_c5,21,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1151,800,1158,807]","[84,116,91,123]","[1067,684,1280,855]",42,0.9716101288795471
209,r4_c2,59,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[517,804,525,812]","[90,120,98,128]","[427,684,640,855]",50,0.9651572704315186
210,r4_c2,229,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[557,807,564,815]","[130,123,137,131]","[427,684,640,855]",40,0.9237529635429382
211,r4_c1,10,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[361,815,368,821]","[148,131,155,137]","[213,684,427,855]",38,0.9762170910835266
212,r4_c2,61,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[535,821,542,828]","[108,137,115,144]","[427,684,640,855]",40,0.9646956324577332
213,r4_c2,130,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[487,823,495,831]","[60,139,68,147]","[427,684,640,855]",48,0.9512306451797485
214,r4_c2,104,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[461,828,469,834]","[34,144,42,150]","[427,684,640,855]",42,0.9554793834686279
215,r4_c1,146,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[395,831,403,839]","[182,147,190,155]","[213,684,427,855]",45,0.9483539462089539
216,r4_c3,180,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[797,834,804,841]","[157,150,164,157]","[640,684,853,855]",39,0.9440913200378418
217,r4_c1,154,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[239,839,248,846]","[26,155,35,162]","[213,684,427,855]",46,0.9462766051292419
218,r4_c5,122,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1241,844,1248,850]","[174,160,181,166]","[1067,684,1280,855]",38,0.9444853067398071
219,r4_c0,244,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[140,849,148,855]","[140,165,148,171]","[0,684,213,855]",37,0.9361186623573303
220,r5_c4,102,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[930,856,937,863]","[77,1,84,8]","[853,855,1067,1026]",43,0.9263403415679932
221,r5_c3,95,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[705,860,713,868]","[65,5,73,13]","[640,855,853,1026]",47,0.95572829246521
222,r5_c3,92,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[765,869,773,876]","[125,14,133,21]","[640,855,853,1026]",43,0.9566675424575806
223,r5_c5,34,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1208,875,1215,883]","[141,20,148,28]","[1067,855,1280,1026]",42,0.9728448390960693
224,r5_c4,75,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1026,881,1034,888]","[173,26,181,33]","[853,855,1067,1026]",45,0.9441276788711548
225,r5_c3,154,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[693,883,704,893]","[53,28,64,38]","[640,855,853,1026]",39,0.9200695157051086
226,r5_c5,92,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1180,889,1186,897]","[113,34,119,42]","[1067,855,1280,1026]",41,0.9562279582023621
227,r5_c3,127,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[650,893,657,902]","[10,38,17,47]","[640,855,853,1026]",48,0.9421074986457825
228,r5_c2,124,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[584,898,591,905]","[157,43,164,50]","[427,855,640,1026]",40,0.9343355298042297
229,r5_c2,28,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[453,903,460,910]","[26,48,33,55]","[427,855,640,1026]",41,0.9755045771598816
230,r5_c0,37,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[38,908,45,915]","[38,53,45,60]","[0,855,213,1026]",41,0.9653221368789673
231,r5_c0,63,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[155,911,161,919]","[155,56,161,64]","[0,855,213,1026]",37,0.958446741104126
232,r5_c2,48,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[548,915,555,922]","[121,60,128,67]","[427,855,640,1026]",40,0.9677156805992126
233,r5_c4,37,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1027,918,1034,926]","[174,63,181,71]","[853,855,1067,1026]",44,0.9613553881645203
234,r5_c5,173,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1227,919,1230,933]","[160,64,163,78]","[1067,855,1280,1026]",40,0.9035166501998901
235,r5_c2,36,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[555,928,562,936]","[128,73,135,81]","[427,855,640,1026]",47,0.9714608192443848
236,r5_c2,118,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[618,933,625,941]","[191,78,198,86]","[427,855,640,1026]",47,0.9374457597732544
237,r5_c5,142,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1080,938,1088,946]","[13,83,21,91]","[1067,855,1280,1026]",39,0.9355668425559998
238,r5_c5,75,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1256,945,1264,952]","[189,90,197,97]","[1067,855,1280,1026]",47,0.9604340195655823
239,r5_c0,7,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[116,951,124,959]","[116,96,124,104]","[0,855,213,1026]",46,0.9841235876083374
